Route Name,Wall Name,Geographic Location,Nearest City,Avg Stars,Route Type,TR Access? (Y/N),Aid? (Y/N),Rating,Safety Rating,Length (ft),Area Latitude,Area Longitude
The Young and the Bold,Collin's wall aka Parking lot wall,Pictured Rocks,Monticello,2.1,Sport,No,No,8,Protected,30,42.20906,-91.1022
Lifetime Leisure Skillz,Collin's wall aka Parking lot wall,Pictured Rocks,Monticello,1.8,Sport,No,No,8,PG13,30,42.20906,-91.1022
Chicago Business Trip,Chicago Wall,Pictured Rocks,Monticello,2.9,Sport,No,No,14,Protected,50,42.2068,-91.10475
Kneel Before Zod,Chicago Wall,Pictured Rocks,Monticello,2.5,Sport,No,No,14,Protected,50,42.2068,-91.10475
Son of Jor-El,Chicago Wall,Pictured Rocks,Monticello,3.3,Sport,No,No,15,Protected,50,42.2068,-91.10475
Peek-a-boo,Wild Iowa Wall,Pictured Rocks,Monticello,3.0,TR,Yes,No,9,Protected,25,42.20952,-91.10185
Atropine,Wild Iowa Wall,Pictured Rocks,Monticello,2.3,Sport,No,No,10,Protected,30,42.20952,-91.10185
Virgin Lemonade,Wild Iowa Wall,Pictured Rocks,Monticello,2.8,Sport,No,No,10,Protected,30,42.20952,-91.10185
Gotz Crack,Wild Iowa Wall,Pictured Rocks,Monticello,2.6,Trad,Yes,No,11,Protected,30,42.20952,-91.10185
Hot Tamale,Wild Iowa Wall,Pictured Rocks,Monticello,2.8,Sport,No,No,12,Protected,30,42.20952,-91.10185
Bird in Hand,Wild Iowa Wall,Pictured Rocks,Monticello,3.4,Sport,No,No,15,Protected,30,42.20952,-91.10185
Kiss of the Prince,Wild Iowa Wall,Pictured Rocks,Monticello,2.7,Sport,No,No,15,Protected,30,42.20952,-91.10185
Wild Iowa,Wild Iowa Wall,Pictured Rocks,Monticello,2.3,Sport,No,No,15,Protected,30,42.20952,-91.10185
Hungry to Do,Wild Iowa Wall,Pictured Rocks,Monticello,3.2,Sport,No,No,16,PG13,30,42.20952,-91.10185
Space Critters,Mild Iowa Wall,Pictured Rocks,Monticello,2.0,Trad,No,No,7,Protected,40,42.2102,-91.10196
Mild Iowa,Mild Iowa Wall,Pictured Rocks,Monticello,2.2,Sport,No,No,8,Protected,40,42.2102,-91.10196
Jugular,Mild Iowa Wall,Pictured Rocks,Monticello,2.4,Sport,No,No,8,Protected,40,42.2102,-91.10196
