Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The Young and the Bold,Collin's wall aka Parking lot wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087003/the-young-and-the-bold,2.1,-1,Sport,5.8,1,30,42.20906,-91.1022
Lifetime Leisure Skillz,Collin's wall aka Parking lot wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106360437/lifetime-leisure-skillz,1.8,-1,Sport,5.8+ PG13,1,30,42.20906,-91.1022
Chicago Business Trip,Chicago Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/111711370/chicago-business-trip,2.9,-1,Sport,5.11a,1,50,42.2068,-91.10475
Kneel Before Zod,Chicago Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/111711440/kneel-before-zod,2.5,-1,Sport,5.11a,1,50,42.2068,-91.10475
Son of Jor-El,Chicago Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/111711418/son-of-jor-el,3.3,-1,Sport,5.11b,1,50,42.2068,-91.10475
Empty Pockets,Chicago Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087022/empty-pockets,3.2,-1,Sport,5.11c,1,,42.2068,-91.10475
Peek-a-boo,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/107726027/peek-a-boo,3,-1,TR,5.9,1,25,42.20952,-91.10185
Atropine,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087035/atropine,2.3,-1,Sport,5.10a,1,30,42.20952,-91.10185
Virgin Lemonade,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087040/virgin-lemonade,2.8,-1,Sport,5.10a,1,30,42.20952,-91.10185
Gotz Crack,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087166/gotz-crack,2.6,-1,"Trad, TR",5.10b,1,30,42.20952,-91.10185
Hot Tamale,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087173/hot-tamale,2.8,-1,Sport,5.10c,1,30,42.20952,-91.10185
Bird in Hand,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087180/bird-in-hand,3.4,-1,Sport,5.11b,1,30,42.20952,-91.10185
Kiss of the Prince,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087196/kiss-of-the-prince,2.7,-1,Sport,5.11b,1,30,42.20952,-91.10185
Wild Iowa,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087200/wild-iowa,2.3,-1,Sport,5.11b,1,30,42.20952,-91.10185
Hungry to Do,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087048/hungry-to-do,3.2,-1,Sport,5.11c PG13,1,30,42.20952,-91.10185
Space Critters,Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106395423/space-critters,2,-1,Trad,5.7+,1,40,42.2102,-91.10196
Mild Iowa,Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087226/mild-iowa,2.2,-1,Sport,5.8,1,40,42.2102,-91.10196
Jugular,Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087230/jugular,2.4,-1,Sport,5.8,1,40,42.2102,-91.10196
Whipper Snapper,Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087222/whipper-snapper,2.1,-1,Sport,5.8+,1,40,42.2102,-91.10196
Tiny Dancer,A Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/121411058/tiny-dancer,2.8,-1,Sport,5.7,1,50,42.21089,-91.10204
Hope for a Boner,A Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087242/hope-for-a-boner,2.7,-1,Sport,5.10a,1,40,42.21089,-91.10204
Ghost Dancer,A Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087589/ghost-dancer,3,-1,Sport,5.11a,1,70,42.21089,-91.10204
Super Fly,A Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087593/super-fly,3.6,-1,Sport,5.11b,1,70,42.21089,-91.10204
Schoolio,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087935/schoolio,2.6,-1,Sport,5.9,1,40,42.21069,-91.10186
Skeletor,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087608/skeletor,2.3,-1,Sport,5.10a,1,30,42.21069,-91.10186
Three Strikes No Balls,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087912/three-strikes-no-balls,3.3,-1,"Sport, TR",5.10a,1,40,42.21069,-91.10186
"Exquze me, do you have any Grey Poupon?",Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087921/exquze-me-do-you-have-any-grey-poupon,2.2,-1,Sport,5.10a,1,40,42.21069,-91.10186
The Buddha (aka Turn Me Loose),Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087926/the-buddha-aka-turn-me-loose,2.9,-1,Sport,5.10b,1,40,42.21069,-91.10186
Tazmanian Devil,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087601/tazmanian-devil,2.9,-1,Sport,5.10d,1,30,42.21069,-91.10186
He Man,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087613/he-man,2.8,-1,Sport,5.11b,1,30,42.21069,-91.10186
Flash,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087618/flash,3.6,-1,Sport,5.11b,1,50,42.21069,-91.10186
Julie's Kiss,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087906/julies-kiss,3.4,-1,Sport,5.11c,1,30,42.21069,-91.10186
Dirty Lid,Ice Cave Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106580141/dirty-lid,2,-1,Trad,5.7,1,60,42.21159,-91.10246
